Smiles	MP	ml	pred-lstm	pred_2d	pred-1	pred-3
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])\C([H])=C([H])\C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])O[H]	104	118.392	100.7676025	84.681	97.99498787	106.052
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])O[H]	107	89.750854	123.6488586	104.70328	117.0535354	104.5458387
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	99	138	102.5820862	90.548035	99.17028639	105.2886635
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])C(C([H])=C([H])[H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	88	121.65585	98.08959351	92.76944	113.1350496	111.5480634
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])c2c([H])c([H])c(F)c([H])c2[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	129	143.04996	199.0235229	126.91751	141.4557301	144.8462639
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])c2c([H])c([H])c(Cl)c([H])c2[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	147	139.708	184.9672485	128.499	147.0389236	130.7
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])c2c([H])c(Cl)c(Cl)c([H])c2[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	137	138.24976	185.1142517	129.08694	143.9440553	150.5426206
C(C([H])([H])[C@@]([H])(C([H])([H])N([H])C(=S)N([H])C([H])([H])C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H])C([H])=C2OC([H])([H])[H])([H])=C2O[H]	170	134.878	132.2081848	161.763	115.6375955	180.81
C(C([H])([H])[C@@]([H])(C([H])([H])N([H])C(=S)N([H])C([H])([H])C(c1c([H])c([H])c(F)c([H])c1[H])([H])[H])C([H])=C2OC([H])([H])[H])([H])=C2O[H]	107	137.147	129.0482727	125.257	121.1485682	130.22
C(C([H])([H])[C@@]([H])(C([H])([H])N([H])C(=S)N([H])C([H])([H])C(c1c([H])c([H])c(Cl)c([H])c1[H])([H])[H])C([H])=C2OC([H])([H])[H])([H])=C2O[H]	152	145.64078	134.8316284	134.09827	125.604319	129.9922358
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])C(C([H])([H])c2c([H])c([H])c(Cl)c([H])c2[H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	145	121.957	152.1649719	159.678	120.7436685	146.19
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	114	145.20926	198.1437012	145.11786	156.361108	154.3328538
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])[C@@]([H])(C([H])([H])C([H])([H])[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	138	128.25882	100.6788879	119.46054	134.5305573	133.2991316
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	154	90.865	104.396814	176.473	99.1291383	180.89
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	93	118.392	181.3258301	90.573	140.0321965	106.151
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])C(c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	101	123.45105	156.228418	121.047516	132.7100458	134.1650901
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])C(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	117	108.102	160.8518311	104.868	130.8416603	99
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])C(c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	122	118.576	168.0914856	113.223	133.1139624	120.72
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])C(c2c([H])c([H])c([H])c([H])c2F)([H])[H])c([H])c(OC([H])([H])[H])c1[H])[H]	148	115.803894	156.249231	94.78723	102.6268313	106.3324537
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])C(c2c([H])c([H])c([H])c(F)c2[H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	132	121.78873	165.189325	109.444	126.7257798	127.2740925
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])C(c2c([H])c([H])c([H])c(Cl)c2[H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	142	111.894	162.3506409	152.787	129.7996659	139.33
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])C(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	126	108.102	152.9105774	124.488	110.9501705	122.64
c1(c([H])c(C([H])([H])N([H])C(=S)N([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	100	72.330505	111.7827087	89.62259	106.4419554	106.8611154
"C1CCN(CC1)CCC(C2=CC=CC=C2)C3=CC=CC=C3
"	41	105.86752	102.6252686	85.84036	95.25958	94.08215
"C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O)O
"	61	112.7287	104.7517639	119.63992	83.51141	103.21747
"CC(C)(C)NC[C@@H](COC1=CC=CC=C1C2CCCC2)O
"	68	104.32553	97.68221436	84.80051	91.990265	92.91531
"CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C
"	69	80.15039	80.5906311	73.18997	71.7637	87.397705
"COC(CN1CCN(CC1)CC(C(C2=CC=CC=C2)OC)O)C3=CC=CC=C3
"	83	129.85745	106.9851624	95.368805	90.238495	100.13257
"CCN1/C(=C/C(=O)OCC)/SC(C1=O)N2CCCCC2
"	86	98.81723	93.77340088	82.14383	88.326416	95.48575
"CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3
"	96	94.88623	69.53222046	82.1214	95.84009	92.62204
"CCCC[C@H](C)C[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCC/C=C/C(=O)O)O)O
"	97	84.571655	71.7600647	71.95593	67.89218	79.844635
"CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-]
"	106	191.71228	101.7612244	162.58398	166.40695	170.02667
"CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3
"	108	111.891785	86.62536011	81.936554	90.87125	91.59439
"C1=CC=C(C=C1)/C(=C\CCCCC(=O)O)/C2=CN=CC=C2
"	114	110.5502	89.52947388	90.790924	87.904175	96.95792
"CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
"	114	130.15115	133.6635071	108.12808	98.73883	113.91153
"CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O
"	116	134.92294	89.86266479	144.12247	146.30414	140.41681
"CC(C)(C)NCC(COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O
"	124	117.055664	92.22017822	134.96371	116.876434	121.06979
"C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
"	141	172.44919	113.795343	189.89117	198.63354	229.8996
"CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@@H]3CO[C@@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
"	146	140.1211	155.5486694	143.02072	138.8826	151.84738
"C/C(=C\C(=O)O)/C1=C(C=C(C=C1)OC)OC
"	149	140.51855	87.28283081	141.61685	146.37045	146.22055
"C/C(=C/C(=O)O)/C1=C(C=C(C=C1)OC)OC
"	149	140.51855	87.28283081	141.61685	146.37045	146.22055
"C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
"	152	122.31769	86.80388794	121.43417	139.10141	135.02692
"CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O
"	153	152.03174	85.01946411	158.3352	162.83762	167.26611
"C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C
"	153	153.85349	134.1179138	175.50742	166.64786	169.42566
"C[C@H](C[C@@](C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)N(C)C
"	156	151.69366	89.68401489	116.76724	128.0557	132.80963
"CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
"	156	140.59576	128.6619202	140.32169	144.08972	142.94101
"C=CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2
"	156	228.9075	197.5560242	188.30945	190.03864	180.07407
"C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)NO
"	159	132.18677	152.0247131	135.45444	135.43741	147.51758
"CN(C)CCCOC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3
"	160	75.01166	51.93651733	77.931366	85.20831	85.139435
"C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
"	164	145.76727	150.9469238	139.66147	141.80612	151.86234
"C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
"	166	242.02396	213.6166016	228.39062	227.7504	237.79935
"C1=CC=C(C(=C1)C(=O)O)OP(=O)(O)O
"	168	105.47366	201.1258484	191.34412	143.37704	138.00998
"CC(C1=CC=C(C=C1)C2CCC/C(=N\O)/C2)C(=O)O
"	178	128.13654	126.73797	159.13919	160.37167	170.82492
"CC(C1=CC=C(C=C1)C2CCC/C(=N/O)/C2)C(=O)O
"	178	128.13654	126.73797	159.13919	160.37167	170.82492
"CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3
"	179	108.74271	132.3766724	121.79306	146.48953	144.75314
"CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
"	188	161.49576	174.781488	169.38809	178.35184	171.53473
"COC1=C(C=C(C=C1)/C=N\NC(=O)C2=CC=NC=C2)OC
"	189	175.80554	144.0011841	211.55579	235.40613	218.13046
"COC1=C(C=C(C=C1)/C=N/NC(=O)C2=CC=NC=C2)OC
"	189	175.80554	144.0011841	211.55579	235.40613	218.13046
"CC1=CC=C(C=C1)S(=O)(=O)NC(=O)N[C@H]2[C@H]3CC[C@@]([C@H]2O)(C3(C)C)C
"	192	191.6712	165.448877	190.94019	192.60275	177.87
"CC(=O)N[C@@H](CCC(=O)N)C(=O)O
"	197	145.07883	146.3538147	173.05945	188.74338	182.04218
"C/C(=N\NC(=O)C1=CC=NC=C1)/C2=CC=CO2
"	199	169.5593	114.2403198	184.33057	204.73978	191.58087
"C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
"	203	195.4205	160.8414551	196.52509	204.41379	207.99796
"C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O
"	209	182.9477	159.7611023	153.12906	175.35794	179.78229
"C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC
"	219	134.57025	119.0155579	159.45209	179.61673	189.65
"C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
"	223	210.85275	159.2459351	237.45471	219.30237	242.32718
"CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC
"	228	180.47955	97.37432251	215.13968	217.5935	217.49841
"CCCC1C(=O)N2C3=C(C=CC(=C3)C)N=C(N2C1=O)N(C)C
"	228	167.76663	142.3302246	134.7395	167.05994	154.2341
"CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C
"	231	162.3078	163.4414307	164.42978	169.6835	170.4943
"COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O
"	234	226.50381	148.8834778	160.50021	190.80518	213.64941
"CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl
"	252	209.245	230.5546204	216.13306	215.57361	203.73026
"C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC=C4[C@@]3(CCC(=C4)C(=O)O)C
"	257	225.28467	156.2650391	230.4592	274.06082	256.58322
"C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2C4(CC4)N)F)C(=O)O
"	269	274.4716	155.0882813	252.44547	278.30057	280.0273
"CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O
"	271	189.78061	191.7891785	236.19739	252.3627	231.99173
"C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O)OC
"	280	141.89474	116.9947754	186.79297	195.59134	214.69064
"CC(=O)NC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C
"	289	202.88278	226.7170044	254.5403	241.02823	233.75574
